일치하는 위치 보고서
2025년 5월 1일 - 2025년 5월 31일
일치하는 위치,입찰가 조정,추가됨/제외됨,클릭수,노출수,클릭률(CTR),통화 코드,평균 CPC,비용
"인천광역시, 대한민국", --,없음,157,"5,379",2.92%,KRW,501,78657
"경기도, 대한민국", --,없음,548,"26,538",2.06%,KRW,478,262065
"충청남도, 대한민국", --,없음,63,"2,773",2.27%,KRW,441,27774
"전라남도, 대한민국", --,없음,11,781,1.41%,KRW,407,4476
"충청북도, 대한민국", --,없음,12,902,1.33%,KRW,280,3365
"경상북도, 대한민국", --,없음,65,"2,704",2.40%,KRW,440,28611
"경상남도, 대한민국", --,없음,40,"3,376",1.18%,KRW,386,15430
"강원특별자치도, 대한민국", --,없음,13,751,1.73%,KRW,364,4737
"대구광역시, 대한민국", --,없음,59,"5,143",1.15%,KRW,507,29942
"서울특별시, 대한민국", --,없음,"1,534","107,018",1.43%,KRW,392,601790
"제주특별자치도, 대한민국", --,없음,5,383,1.31%,KRW,589,2944
"부산광역시, 대한민국", --,없음,115,"12,262",0.94%,KRW,401,46072
"울산광역시, 대한민국", --,없음,5,613,0.82%,KRW,318,1588
"광주광역시, 대한민국", --,없음,4,815,0.49%,KRW,488,1952
"전북특별자치도, 대한민국", --,없음,35,"1,606",2.18%,KRW,531,18586
"대전광역시, 대한민국", --,없음,23,893,2.58%,KRW,325,7480
전체: 위치,,,"2,689","171,937",1.56%,KRW,422,1135470
전체: 캠페인,,,"2,695","172,195",1.57%,KRW,422,1136691
