광고 보고서
2025년 5월 1일 - 2025년 5월 31일
광고 상태,최종 URL,광고 제목 1,광고 제목 2,광고 제목 3,광고 제목 4,광고 제목 5,설명 1,설명 2,설명 3,설명 4,설명 5,이미지 ID:,정사각형 이미지 ID,세로 이미지 ID,로고 ID,업체명,클릭 유도문안 텍스트,모바일 최종 도착 URL,추적 템플릿,최종 도착 URL 접미사,맞춤 매개변수,광고그룹,상태,상태 이유,광고 유형,광고 효력,광고 품질 개선,노출수,클릭률(CTR),클릭수,통화 코드,평균 CPC,비용
사용중,https://win.masgolf.co.kr/?utm_source=google&utm_medium=demandgen&utm_campaign=masgolf_senior&utm_content=masgolf_senior_sq,"60세, 지금이 전성기입니다",나를 위한 맞춤 드라이버, --, --, --,"시니어 전용 드라이버 상담, 5분이면 충분합니다. 전성기를 다시 누려보세요.",지금 전화 상담으로 나에게 꼭 맞는 피팅을 확인해보세요., --, --, --, --,235123938735, --,193329075669; 212525425618,MASGOLF, --,, --, --,,masgolf_senior,운영 불가능,캠페인이 일시중지됨,디맨드젠 이미지 광고,보통,광고 제목을 더 추가하여 실적 개선 가능성을 높이세요.;--;기존에 사용하지 않았던 다른 설명을 입력하세요.;--;--,"9,839",2.59%,255,KRW,440,112320
사용중,https://win.masgolf.co.kr/?utm_source=google&utm_medium=demandgen&utm_campaign=masgolf_senior&utm_content=masgolf_senior_vert,"60세, 지금이 전성기입니다",나를 위한 맞춤 드라이버, --, --, --,"시니어 전용 드라이버 상담, 5분이면 충분합니다. 전성기를 다시 누려보세요.",지금 전화 상담으로 나에게 꼭 맞는 피팅을 확인해보세요., --, --, --,235123945872, --,235123975176,193329075669; 212525425618,MASGOLF, --,, --, --,,masgolf_senior,운영 불가능,캠페인이 일시중지됨,디맨드젠 이미지 광고,보통, --;--;--;광고 제목을 더 추가하여 실적 개선 가능성을 높이세요.;기존에 사용하지 않았던 다른 설명을 입력하세요.,"3,005",4.13%,124,KRW,502,62299
사용중,https://win.masgolf.co.kr/?utm_source=google&utm_medium=demandgen&utm_campaign=masgolf_family&utm_content=masgolf_family_vert,아들의 박수는 더 커졌습니다,"MASGOLF, 아버지를 위한 드라이버", --, --, --,"전성기의 비거리를 다시 찾는 순간, MASGOLF에서 가족의 응원을 느껴보세요.",지금 전화하면 가족 맞춤 혜택까지 안내해드립니다., --, --, --,235103957032, --,235103951536,193329075669; 212525425618,MASGOLF, --,, --, --,,masgolf_family,운영 불가능,캠페인이 일시중지됨,디맨드젠 이미지 광고,좋음,광고 제목을 더 추가하여 실적 개선 가능성을 높이세요.;기존에 사용하지 않았던 다른 설명을 입력하세요.;--;--,"6,443",0.59%,38,KRW,463,17580
사용중,https://win.masgolf.co.kr/?utm_source=google&utm_medium=demandgen&utm_campaign=masgolf_driverpower&utm_content=masgolf_driverpower_vert,"평균 +25m, 반발계수 0.87의 힘","MASGOLF, 시니어 전용 드라이버", --, --, --,MASGOLF 고반발 드라이버로 평균 +25m 증가. 지금 무료 전화 상담하세요.,전화 한 통이면 맞춤 피팅부터 시타 예약까지 가능합니다., --, --, --,235104003439, --,235104003280,193329075669; 212525425618,MASGOLF, --,, --, --,,masgolf_driverpower,운영 불가능,캠페인이 일시중지됨,디맨드젠 이미지 광고,보통,광고 제목을 더 추가하여 실적 개선 가능성을 높이세요.;--;기존에 사용하지 않았던 다른 설명을 입력하세요.;--;--,"62,187",0.53%,330,KRW,249,82080
사용중,https://win.masgolf.co.kr/?utm_source=google&utm_medium=demandgen&utm_campaign=masgolf_swing&utm_content=masgolf_swing_sq,"전성기 드라이버샷, 다시 가능합니다","반발력 0.87, 다시 느껴보세요", --, --, --,고반발 드라이버로 전성기 비거리를 되찾을 수 있습니다. 전화로 상담 예약하세요.,"MASGOLF 드라이버, 지금 전화 상담으로 직접 확인해보세요.", --, --, --, --,235123939413, --,193329075669; 212525425618,MASGOLF, --,, --, --,,masgolf_swing,운영 불가능,캠페인이 일시중지됨,디맨드젠 이미지 광고,좋음,광고 제목을 더 추가하여 실적 개선 가능성을 높이세요.;기존에 사용하지 않았던 다른 설명을 입력하세요.;--;--,"5,954",1.58%,94,KRW,409,38470
사용중,https://win.masgolf.co.kr/?utm_source=google&utm_medium=demandgen&utm_campaign=masgolf_driverpower&utm_content=masgolf_driverpower_sq,"평균 +25m, 반발계수 0.87의 힘","MASGOLF, 시니어 전용 드라이버", --, --, --,MASGOLF 고반발 드라이버로 평균 +25m 증가. 지금 무료 전화 상담하세요.,전화 한 통이면 맞춤 피팅부터 시타 예약까지 가능합니다., --, --, --, --,235103956081, --,193329075669; 212525425618,MASGOLF, --,, --, --,,masgolf_driverpower,운영 불가능,캠페인이 일시중지됨,디맨드젠 이미지 광고,보통,광고 제목을 더 추가하여 실적 개선 가능성을 높이세요.;--;기존에 사용하지 않았던 다른 설명을 입력하세요.;--;--,"50,046",2.56%,"1,279",KRW,470,601195
사용중,https://win.masgolf.co.kr/?utm_source=google&utm_medium=demandgen&utm_campaign=masgolf_senior&utm_content=masgolf_senior_wide,"60세, 지금이 전성기입니다",나를 위한 맞춤 드라이버, --, --, --,"시니어 전용 드라이버 상담, 5분이면 충분합니다. 전성기를 다시 누려보세요.",지금 전화 상담으로 나에게 꼭 맞는 피팅을 확인해보세요., --, --, --,235123945872, --, --,193329075669; 212525425618,MASGOLF, --,, --, --,,masgolf_senior,운영 불가능,캠페인이 일시중지됨,디맨드젠 이미지 광고,보통,광고 제목을 더 추가하여 실적 개선 가능성을 높이세요.;--;기존에 사용하지 않았던 다른 설명을 입력하세요.;--;--,553,3.07%,17,KRW,545,9257
사용중,https://win.masgolf.co.kr/?utm_source=google&utm_medium=demandgen&utm_campaign=masgolf_driverpower&utm_content=masgolf_driverpower_wide,"평균 +25m, 반발계수 0.87의 힘","MASGOLF, 시니어 전용 드라이버", --, --, --,MASGOLF 고반발 드라이버로 평균 +25m 증가. 지금 무료 전화 상담하세요.,전화 한 통이면 맞춤 피팅부터 시타 예약까지 가능합니다., --, --, --,235104003439, --, --,193329075669; 212525425618,MASGOLF, --,, --, --,,masgolf_driverpower,운영 불가능,캠페인이 일시중지됨,디맨드젠 이미지 광고,보통,광고 제목을 더 추가하여 실적 개선 가능성을 높이세요.;--;기존에 사용하지 않았던 다른 설명을 입력하세요.;--;--,"8,303",1.79%,149,KRW,316,47067
사용중,https://win.masgolf.co.kr/?utm_source=google&utm_medium=demandgen&utm_campaign=masgolf_family&utm_content=masgolf_family_wide,아들의 박수는 더 커졌습니다,"MASGOLF, 아버지를 위한 드라이버", --, --, --,"전성기의 비거리를 다시 찾는 순간, MASGOLF에서 가족의 응원을 느껴보세요.",지금 전화하면 가족 맞춤 혜택까지 안내해드립니다., --, --, --,235103957032, --, --,193329075669; 212525425618,MASGOLF, --,, --, --,,masgolf_family,운영 불가능,캠페인이 일시중지됨,디맨드젠 이미지 광고,보통,광고 제목을 더 추가하여 실적 개선 가능성을 높이세요.;기존에 사용하지 않았던 다른 설명을 입력하세요.;--;--,"3,373",2.10%,71,KRW,451,32026
사용중,https://win.masgolf.co.kr/?utm_source=google&utm_medium=demandgen&utm_campaign=masgolf_swing&utm_content=masgolf_swing_wide,"전성기 드라이버샷, 다시 가능합니다","반발력 0.87, 다시 느껴보세요", --, --, --,고반발 드라이버로 전성기 비거리를 되찾을 수 있습니다. 전화로 상담 예약하세요.,"MASGOLF 드라이버, 지금 전화 상담으로 직접 확인해보세요.", --, --, --,235021330748, --, --,193329075669; 212525425618,MASGOLF, --,, --, --,,masgolf_swing,운영 불가능,캠페인이 일시중지됨,디맨드젠 이미지 광고,보통,광고 제목을 더 추가하여 실적 개선 가능성을 높이세요.;기존에 사용하지 않았던 다른 설명을 입력하세요.;--;--,"1,430",3.36%,48,KRW,525,25209
