MASGOLF_2025년5월_광고성과_시간대기준
2025년 5월 1일 - 2025년 5월 31일
시간대,클릭수,노출수,전환수(전환 시간별),클릭률(CTR),통화 코드,비용
0,21,894,0.00,2.35%,KRW,7476
1,20,668,0.00,2.99%,KRW,7035
2,15,620,0.00,2.42%,KRW,5347
3,37,"1,483",0.00,2.49%,KRW,13878
4,43,"2,400",0.00,1.79%,KRW,18993
5,25,720,0.00,3.47%,KRW,11000
6,14,471,3.00,2.97%,KRW,4502
7,16,693,0.00,2.31%,KRW,5503
8,15,806,0.00,1.86%,KRW,4803
9,199,"6,170",1.00,3.23%,KRW,93166
10,195,"5,579",7.00,3.50%,KRW,93345
11,189,"5,651",4.00,3.34%,KRW,94139
12,176,"5,694",5.00,3.09%,KRW,80029
13,166,"6,843",3.00,2.43%,KRW,72176
14,178,"6,586",2.00,2.70%,KRW,87704
15,315,"28,245",1.00,1.12%,KRW,164745
16,389,"43,834",3.00,0.89%,KRW,147085
17,304,"27,171",7.00,1.12%,KRW,108532
18,284,"22,472",4.00,1.26%,KRW,106089
19,73,"4,022",6.00,1.82%,KRW,9122
20,13,784,1.00,1.66%,KRW,1368
21,3,264,0.00,1.14%,KRW,443
22,5,90,0.00,5.56%,KRW,153
23,0,35,0.00,0.00%,KRW,56
